ID,Nom,Date de début,Date de fin,Durée,Avancée,Coût,Responsable,Prédécesseurs,Numéro hiérarchique,Ressources,Assignments,Lien internet,Notes
268,Analyse,03/05/21,06/05/21,4,0,0,,,1,,,,
276,"  Création de la planification initiale",03/05/21,03/05/21,1,0,0,,,1.1,,,,
277,"  Créer le Git, le projet Unity, le journal de bord, le rapport",03/05/21,03/05/21,1,0,0,,,1.2,,,,
278,"  Recherche d'informations sur le sujet",04/05/21,04/05/21,1,0,0,,,1.3,,,,
279,"  Maquettes de l'app",04/05/21,04/05/21,1,0,0,,,1.4,,,,
280,"  Choix des conventions de nommage et architecteur du code",04/05/21,04/05/21,1,0,0,,,1.5,,,,
281,"  Début du rapport",06/05/21,06/05/21,1,0,0,,,1.6,,,,
282,"  Analyse du code d'applications similaires",06/05/21,06/05/21,1,0,0,,,1.7,,,,
283,Conception,10/05/21,11/05/21,2,0,0,,,2,,,,
284,"  Diagramme de flux sur les parties les plus critiques de l'app",10/05/21,11/05/21,2,0,0,,,2.1,,,,
285,"  Choix de la technologie de sauvegarde de fichier",11/05/21,11/05/21,1,0,0,,,2.2,,,,
286,"  Finalisation du dossier de l'analyse et du dossier de conception dans le rapport",11/05/21,11/05/21,1,0,0,,,2.3,,,,
242,Implémentation,17/05/21,27/05/21,9,0,0,,,3,,,,
258,"  Création de l'interface de base",17/05/21,17/05/21,1,0,0,,,3.1,,,,
259,"  Recherche des ressources (images et sons)",17/05/21,17/05/21,1,0,0,,,3.2,,,,
260,"  Création des managers et des classes ""de base""",17/05/21,17/05/21,1,0,0,,,3.3,,,,
261,"  Création des managers et classes ""de base""",18/05/21,18/05/21,1,0,0,,,3.4,,,,
262,"  Codage des ""câbles"" qui relient les éléments",18/05/21,18/05/21,1,0,0,,,3.5,,,,
263,"  Codage des portes logiques de base",18/05/21,18/05/21,1,0,0,,,3.6,,,,
264,"  Fonctionnalité ""simulation"" du circuit",20/05/21,21/05/21,2,0,0,,,3.7,,,,
265,"  Affichage des états des portes et des câbles",21/05/21,21/05/21,1,0,0,,,3.8,,,,
266,"  Enregistrement des fichiers",25/05/21,25/05/21,1,0,0,,,3.9,,,,
267,"  Exportation de fichiers image",25/05/21,27/05/21,3,0,0,,,3.10,,,,
287,Tests et Finalisation,28/05/21,04/06/21,6,0,0,,,4,,,,
288,"  Session de tests approfondie",28/05/21,28/05/21,1,0,0,,,4.1,,,,
289,"  Session de test approfondie",31/05/21,31/05/21,1,0,0,,,4.2,,,,
290,"  Terminer le rapport",31/05/21,01/06/21,2,0,0,,,4.3,,,,
291,"  Correction du rapport, enjolivage, manuel utilisateur",03/06/21,03/06/21,1,0,0,,,4.4,,,,
292,"  Rendu final TPI",04/06/21,04/06/21,1,0,0,,,4.5,,,,"À 11h25, 2 copies papier rendues à Mr. Viret / Mr. Altieri et la version électronique envoyée à Mr. Viret et aux experts."
